UserAccountID,IMDBID,UserName,Password,UserLastName,UserFirstName,BirthDate,EmailID,AddressLine1,City,State,Country
1,1,odenrebel,odenrebel,grottygenders,managertattler,1981-07-15,odenre@gmail.com,qwerty12,Boston,MA,USA
2,1,lowarchivist,lowarchivist,bennyrawfish,poyntonnesting,1981-12-24,lowarc@gmail.com,qwerty32,Chennai,TN,INDIA
3,1,derisionpoor,derisionpoor,abbotsfordfaint,grabseed,1982-02-25,derisi@gmail.com,qwerty52,New Delhi,Delhi,INDIA
4,1,fiagunusual,fiagunusual,ottawaphone,retweetcheek,1983-07-08,fiagun@gmail.com,qwerty72,Dallas,Texas,USA
5,1,exterioracrobat,exterioracrobat,scheduleswhinchat,fizzyhorner,1986-08-11,exteri@gmail.com,qwerty92,Mumbai,Maharashtra,INDIA
6,1,delayklastos,delayklastos,barmandick,furlanged,1986-09-11,delayk@gmail.com,qwerty12,Boston,MA,USA
7,1,ostrichlily,ostrichlily,valuehijack,pluggedgreen,1987-09-23,ostric@gmail.com,qwerty32,Chennai,TN,INDIA
8,1,onlineship,onlineship,velvetbastard,merryfilm,1987-12-18,online@gmail.com,qwerty52,New Delhi,Delhi,Sweden
9,1,straightalcohol,straightalcohol,skinnypretzel,aldussyrupy,1988-03-15,straig@gmail.com,qwerty72,Dallas,Texas,Iraq
10,1,nonstopboth,nonstopboth,smellingmoose,synchronouscharity,1988-11-24,nonsto@gmail.com,qwerty92,Mumbai,Maharashtra,Australia
11,1,melodicholystone,melodicholystone,hourglasschamp,burnttermite,1989-02-28,melodi@gmail.com,qwerty12,Boston,MA,Switzerland
12,1,nosespilling,nosespilling,reducevar,lievercollect,1990-07-11,nosesp@gmail.com,qwerty32,Chennai,TN,USA
13,1,fahrenheitfusty,fahrenheitfusty,sniffreflect,readskirl,1991-03-28,fahren@gmail.com,qwerty52,New Delhi,Delhi,Spain
14,1,sealtoboggan,sealtoboggan,thompsonmaggie,brooksfreegan,1991-08-20,sealto@gmail.com,qwerty72,Dallas,Texas,USA
15,1,dingdongkarachi,dingdongkarachi,makesadie,musselamber,1991-10-11,dingdo@gmail.com,qwerty92,Mumbai,Maharashtra,UK
16,1,windbagtrusty,windbagtrusty,eviegrim,uppityteachers,1992-08-05,windba@gmail.com,qwerty12,Boston,MA,USA
17,1,snickersinterest,snickersinterest,toppleskeletal,bedevening,1993-04-06,snicke@gmail.com,qwerty32,Chennai,TN,Argentina
18,1,blackcapvenogram,blackcapvenogram,copaledit,hijackjuicy,1994-01-21,blackc@gmail.com,qwerty52,New Delhi,Delhi,Canada
19,1,sieveskewer,sieveskewer,transirecollimation,xingchive,1994-04-20,sieves@gmail.com,qwerty72,Dallas,Texas,USA
20,1,unguardeddharma,unguardeddharma,wackycurved,ruttishconfounded,1994-07-05,unguar@gmail.com,qwerty92,Mumbai,Maharashtra,France
21,1,dreambenny,dreambenny,knifeinvincible,ethologynight,1994-07-20,dreamb@gmail.com,qwerty12,Boston,MA,USA
22,1,swaggeringrhyolite,swaggeringrhyolite,chalkawk,pribblingallege,1995-01-26,swagge@gmail.com,qwerty32,Chennai,TN,New Zealand
23,1,telephoneshellfish,telephoneshellfish,herculespastie,scoffenthusiasm,1995-08-25,teleph@gmail.com,qwerty52,New Delhi,Delhi,Israel
24,1,surfeitpelt,surfeitpelt,reawhinney,argoncommondale,1996-03-08,surfei@gmail.com,qwerty72,Dallas,Texas,USA
25,1,museumbeautiful,museumbeautiful,leoleaden,altitudecareful,1998-03-20,museum@gmail.com,qwerty92,Mumbai,Maharashtra,USA
26,1,parsnipboeing,parsnipboeing,jockeyburgoo,kneehill,1994-07-20,parsni@gmail.com,qwerty12,Boston,MA,USA
27,1,trainerflagellum,trainerflagellum,eskbowen,carickstod,1995-01-26,traine@gmail.com,qwerty32,Chennai,TN,USA
28,1,aquifersplints,aquifersplints,jovictoriaville,tranquiljoey,1995-08-25,aquife@gmail.com,qwerty52,New Delhi,Delhi,USA
29,1,dykezippy,dykezippy,budweiserduty,hamburgerpolloch,1996-03-08,dykezi@gmail.com,qwerty72,Dallas,Texas,USA
30,1,playfulmoonshine,playfulmoonshine,demiortolan,pedagogysubtle,1998-03-20,playfu@gmail.com,qwerty92,Mumbai,Maharashtra,USA
